Year,by types of economic activity,by the organisational and legal forms,Region,Value
2025,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,9.8
2016,manufacture of fluid power equipment,,,
2017,manufacture of fluid power equipment,,,
2018,manufacture of fluid power equipment,,,
2019,manufacture of fluid power equipment,,,
2020,manufacture of fluid power equipment,,,
2021,manufacture of fluid power equipment,,,
2022,manufacture of fluid power equipment,,,14.4
2023,manufacture of fluid power equipment,,,14.7
2024,manufacture of fluid power equipment,,,17.5
2025,manufacture of fluid power equipment,,,16.9
2016,manufacture of other pumps and compressors,,,
2017,manufacture of other pumps and compressors,,,
2018,manufacture of other pumps and compressors,,,
2019,manufacture of other pumps and compressors,,,
2020,manufacture of other pumps and compressors,,,
2021,manufacture of other pumps and compressors,,,
2022,manufacture of other pumps and compressors,,,14.1
2023,manufacture of other pumps and compressors,,,12.9
2024,manufacture of other pumps and compressors,,,13.7
2025,manufacture of other pumps and compressors,,,14.7
2016,manufacture of other taps and valves,,,
2017,manufacture of other taps and valves,,,
2018,manufacture of other taps and valves,,,
2019,manufacture of other taps and valves,,,
2020,manufacture of other taps and valves,,,
2021,manufacture of other taps and valves,,,
2022,manufacture of other taps and valves,,,21.7
2023,manufacture of other taps and valves,,,23.2
2024,manufacture of other taps and valves,,,24.6
2025,manufacture of other taps and valves,,,24.7
2016,"manufacture of bearings, gears, gearing and driving elements",,,
2017,"manufacture of bearings, gears, gearing and driving elements",,,
2018,"manufacture of bearings, gears, gearing and driving elements",,,
2019,"manufacture of bearings, gears, gearing and driving elements",,,
2020,"manufacture of bearings, gears, gearing and driving elements",,,
2021,"manufacture of bearings, gears, gearing and driving elements",,,
2022,"manufacture of bearings, gears, gearing and driving elements",,,15.9
2023,"manufacture of bearings, gears, gearing and driving elements",,,13.0
2024,"manufacture of bearings, gears, gearing and driving elements",,,14.7
2025,"manufacture of bearings, gears, gearing and driving elements",,,18.4
2016,"manufacture of ovens, furnaces and furnace burners",,,
2017,"manufacture of ovens, furnaces and furnace burners",,,
2018,"manufacture of ovens, furnaces and furnace burners",,,
2019,"manufacture of ovens, furnaces and furnace burners",,,
2020,"manufacture of ovens, furnaces and furnace burners",,,
2021,"manufacture of ovens, furnaces and furnace burners",,,
2022,"manufacture of ovens, furnaces and furnace burners",,,22.4
2023,"manufacture of ovens, furnaces and furnace burners",,,19.8
2024,"manufacture of ovens, furnaces and furnace burners",,,18.1
2025,"manufacture of ovens, furnaces and furnace burners",,,19.7
2016,manufacture of lifting and handling equipment,,,
2017,manufacture of lifting and handling equipment,,,
2018,manufacture of lifting and handling equipment,,,
2019,manufacture of lifting and handling equipment,,,
2020,manufacture of lifting and handling equipment,,,
2021,manufacture of lifting and handling equipment,,,
2022,manufacture of lifting and handling equipment,,,11.0
2023,manufacture of lifting and handling equipment,,,11.3
2024,manufacture of lifting and handling equipment,,,10.9
2025,manufacture of lifting and handling equipment,,,11.8
2016,manufacture of office machinery and equipment (except computers and peripheral equipment),,,
2017,manufacture of office machinery and equipment (except computers and peripheral equipment),,,
2018,manufacture of office machinery and equipment (except computers and peripheral equipment),,,
2019,manufacture of office machinery and equipment (except computers and peripheral equipment),,,
2020,manufacture of office machinery and equipment (except computers and peripheral equipment),,,
2021,manufacture of office machinery and equipment (except computers and peripheral equipment),,,
2022,manufacture of office machinery and equipment (except computers and peripheral equipment),,,8.0
2023,manufacture of office machinery and equipment (except computers and peripheral equipment),,,8.0
2024,manufacture of office machinery and equipment (except computers and peripheral equipment),,,8.0
2025,manufacture of office machinery and equipment (except computers and peripheral equipment),,,8.3
2016,manufacture of power-driven hand tools,,,
2017,manufacture of power-driven hand tools,,,
2018,manufacture of power-driven hand tools,,,
2019,manufacture of power-driven hand tools,,,
2020,manufacture of power-driven hand tools,,,
2021,manufacture of power-driven hand tools,,,
2022,manufacture of power-driven hand tools,,,8.3
2023,manufacture of power-driven hand tools,,,9.1
2024,manufacture of power-driven hand tools,,,9.1
2025,manufacture of power-driven hand tools,,,9.1
2016,manufacture of non-domestic cooling and ventilation equipment,,,
2017,manufacture of non-domestic cooling and ventilation equipment,,,
2018,manufacture of non-domestic cooling and ventilation equipment,,,
2019,manufacture of non-domestic cooling and ventilation equipment,,,
2020,manufacture of non-domestic cooling and ventilation equipment,,,
2021,manufacture of non-domestic cooling and ventilation equipment,,,
2022,manufacture of non-domestic cooling and ventilation equipment,,,12.8
2023,manufacture of non-domestic cooling and ventilation equipment,,,12.7
2024,manufacture of non-domestic cooling and ventilation equipment,,,12.4
2025,manufacture of non-domestic cooling and ventilation equipment,,,13.1
2016,manufacture of other general-purpose machinery n.e.c.,,,
2017,manufacture of other general-purpose machinery n.e.c.,,,
2018,manufacture of other general-purpose machinery n.e.c.,,,
2019,manufacture of other general-purpose machinery n.e.c.,,,
2020,manufacture of other general-purpose machinery n.e.c.,,,
2021,manufacture of other general-purpose machinery n.e.c.,,,
2022,manufacture of other general-purpose machinery n.e.c.,,,14.7
2023,manufacture of other general-purpose machinery n.e.c.,,,15.0
2024,manufacture of other general-purpose machinery n.e.c.,,,14.9
2025,manufacture of other general-purpose machinery n.e.c.,,,16.4
2016,manufacture of agricultural and forestry machinery,,,
2017,manufacture of agricultural and forestry machinery,,,
2018,manufacture of agricultural and forestry machinery,,,
2019,manufacture of agricultural and forestry machinery,,,
2020,manufacture of agricultural and forestry machinery,,,
2021,manufacture of agricultural and forestry machinery,,,
2022,manufacture of agricultural and forestry machinery,,,16.0
2023,manufacture of agricultural and forestry machinery,,,16.5
2024,manufacture of agricultural and forestry machinery,,,16.2
2025,manufacture of agricultural and forestry machinery,,,17.2
2016,manufacture of metal forming machinery,,,
2017,manufacture of metal forming machinery,,,
2018,manufacture of metal forming machinery,,,
2019,manufacture of metal forming machinery,,,
2020,manufacture of metal forming machinery,,,
2021,manufacture of metal forming machinery,,,
2022,manufacture of metal forming machinery,,,10.1
2023,manufacture of metal forming machinery,,,10.3
2024,manufacture of metal forming machinery,,,8.9
2025,manufacture of metal forming machinery,,,8.5
2016,manufacture of other machine tools,,,
2017,manufacture of other machine tools,,,
2018,manufacture of other machine tools,,,
2019,manufacture of other machine tools,,,
2020,manufacture of other machine tools,,,
2021,manufacture of other machine tools,,,
2022,manufacture of other machine tools,,,21.2
2023,manufacture of other machine tools,,,21.7
2024,manufacture of other machine tools,,,21.8
2025,manufacture of other machine tools,,,19.4
2016,manufacture of machinery for metallurgy,,,
2017,manufacture of machinery for metallurgy,,,
2018,manufacture of machinery for metallurgy,,,
2019,manufacture of machinery for metallurgy,,,
2020,manufacture of machinery for metallurgy,,,
2021,manufacture of machinery for metallurgy,,,
2022,manufacture of machinery for metallurgy,,,13.3
2023,manufacture of machinery for metallurgy,,,13.1
2024,manufacture of machinery for metallurgy,,,13.5
2025,manufacture of machinery for metallurgy,,,15.5
2016,"manufacture of machinery for mining, quarrying and construction",,,
2017,"manufacture of machinery for mining, quarrying and construction",,,
2018,"manufacture of machinery for mining, quarrying and construction",,,
2019,"manufacture of machinery for mining, quarrying and construction",,,
2020,"manufacture of machinery for mining, quarrying and construction",,,
2021,"manufacture of machinery for mining, quarrying and construction",,,
2022,"manufacture of machinery for mining, quarrying and construction",,,16.6
2023,"manufacture of machinery for mining, quarrying and construction",,,16.9
2024,"manufacture of machinery for mining, quarrying and construction",,,17.4
2025,"manufacture of machinery for mining, quarrying and construction",,,16.6
2016,"manufacture of machinery for food, beverage and tobacco processing",,,
2017,"manufacture of machinery for food, beverage and tobacco processing",,,
2018,"manufacture of machinery for food, beverage and tobacco processing",,,
2019,"manufacture of machinery for food, beverage and tobacco processing",,,
2020,"manufacture of machinery for food, beverage and tobacco processing",,,
2021,"manufacture of machinery for food, beverage and tobacco processing",,,
2022,"manufacture of machinery for food, beverage and tobacco processing",,,14.3
2023,"manufacture of machinery for food, beverage and tobacco processing",,,13.6
2024,"manufacture of machinery for food, beverage and tobacco processing",,,11.7
2025,"manufacture of machinery for food, beverage and tobacco processing",,,12.2
2016,"manufacture of machinery for textile, apparel and leather production",,,
2017,"manufacture of machinery for textile, apparel and leather production",,,
2018,"manufacture of machinery for textile, apparel and leather production",,,
2019,"manufacture of machinery for textile, apparel and leather production",,,
2020,"manufacture of machinery for textile, apparel and leather production",,,
2021,"manufacture of machinery for textile, apparel and leather production",,,
2022,"manufacture of machinery for textile, apparel and leather production",,,35.7
2023,"manufacture of machinery for textile, apparel and leather production",,,35.7
2024,"manufacture of machinery for textile, apparel and leather production",,,42.9
2025,"manufacture of machinery for textile, apparel and leather production",,,42.9
2016,manufacture of machinery for paper and paperboard production,,,
2017,manufacture of machinery for paper and paperboard production,,,
2018,manufacture of machinery for paper and paperboard production,,,
2019,manufacture of machinery for paper and paperboard production,,,
2020,manufacture of machinery for paper and paperboard production,,,
